fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color,wine_id
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,white,1198
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7,white,3409
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6,white,4789
9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6,white,3054
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8,white,2812
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6,white,2417
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,white,378
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6,red,285
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,white,3257
6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6,white,777
5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6,white,4317
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6,white,1260
5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,6,white,1563
6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7,white,2162
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,white,1204
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,red,5182
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,white,1177
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,red,1868
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6,white,779
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,white,4025
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4,white,4844
7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6,white,3164
5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7,white,3039
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5,white,532
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,white,2010
8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6,white,1396
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6,white,3691
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,red,2415
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,white,3352
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,red,1707
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,white,1787
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,red,1687
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,white,22
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7,white,4866
