country,agricultural_land_percent,forest_land_percent,trade_in_services_percent,control_of_corruption_estimate,access_to_electricity_percent,renewvable_energy_consumption_percent,co2_emisions,inflation_annual_percent,goverment_effectiveness_estimate,doing_business,individuals_using_internet_percent,gdp_current_us,political_stability_estimate,rule_of_law_estimate,government_expenditure_on_education_percent,government_health_expenditure_percent,life_expectancy_at_birth,population,voice_and_accountability_estimate,intentional_homicides,income_group,continent
Afghanistan,58.18499609033624,1.85278199408184,9.986544178161868,-1.469776391983032,91.60617553710938,18.626,10317.302,2.3253311920603004,-1.419073677062988,173.0,13.431999999999999,18571383559.94358,-2.685084772109986,-1.609911799430844,4.047653436660767,0.563077604,63.0914,35697881.4,-1.0319571852684022,7.478469085672202,Low,Asia
Albania,42.90775182481752,28.796131386861298,38.28999471615432,-0.5212969958782196,99.952,38.562,5016.66,1.7194834923127118,0.03506062962114812,82.0,62.57007822400001,13365205859.6094,0.3059098809957504,-0.3785382688045504,3.6161929607391357,2.780139304,79.0034,2870165.6,0.1724985659122466,2.306497449632328,Upper_middle,Europe
Algeria,17.366007588566497,0.8165455437849879,8.482358100354658,-0.6451109170913695,99.49152984619141,0.126,160749.63999999998,4.599003226888572,-0.4935854375362396,157.0,47.370524932,168556277154.4472,-1.0016188621521012,-0.8907714128494263,6.814118862152098,4.33111439,75.9274,41130280.8,-0.9321102976799018,1.313643535092792,Upper_middle,Asia
Andorra,40.03578723404256,34.0425531914894,87.5795534623769,1.167776584625244,100.0,18.936,474.8544,,1.83082721233368,,89.97153309000001,3012044749.990398,1.421968770027158,1.52166793346405,3.2263679981231674,5.1823408120000005,,73895.8,1.137696480751038,0.0,High,Europe
Angola,36.74564851207187,54.7626261329911,18.290758638398962,-1.322532534599304,43.52303143310548,52.69,26850.940000000002,21.321134828892276,-0.9969705820083616,177.0,26.465878394000004,73459368768.65634,-0.3867892622947692,-1.0201132774353021,2.4879162311553964,1.18462391,61.6038,30223643.2,-1.0217013597488398,4.28024173506161,Lower_middle,Africa
Antigua and Barbuda,20.4545454545455,18.9,95.3791571813808,0.3923984974622726,100.0,0.53,501.68,1.1101114937017378,0.051601105928420966,113.0,79.56921044,1569096296.2962961,0.8679522514343262,0.4347968935966494,3.027732610702516,2.84499664,78.30699999999999,91073.4,0.6296582460403443,12.767618432377963,High,South America
Argentina,43.109392689709104,10.558594506502379,6.664041383771147,-0.2788480743765832,99.91650238037109,10.081999999999999,178606.52,,0.042426948249340186,126.0,74.190780766,553696915066.5864,0.05560021465644249,-0.390936669707298,5.286251926422122,6.207370854,76.83680000000001,44040071.8,0.5088862359523774,5.670525922372342,Upper_middle,South America
Armenia,58.89638215665612,11.559536354056899,33.19479662846244,-0.5081491112709043,99.88,11.584,5537.84,1.4522634660294855,-0.2580855399370192,47.0,64.596149964,11740832739.38056,-0.48442515134811404,-0.2417562395334246,2.61988010406494,1.453282524,74.90180000000001,2850702.4,-0.35049799904227263,2.489297526080444,Upper_middle,Europe
Australia,46.3953670479775,17.403171008267798,9.822807667106058,1.7842458724975578,100.0,9.598,393798.88,1.6512347786876842,1.532121777534486,14.0,88.25109658400001,1342127389136.2622,0.9341753840446483,1.7041984558105459,5.199847984313966,7.275718402,82.59951219512196,24579514.8,1.35011866092682,0.9093712530668178,High,Asia
Austria,32.34920019389238,47.12043141056716,29.66289779936514,1.511917209625244,100.0,34.296,64089.740000000005,1.4797399315186783,1.4685125827789318,27.0,86.28616262199999,418931396669.675,0.9655764102935788,1.818232989311218,5.350368118286134,7.643906786,81.61268292682928,8779474.8,1.368595957756042,0.752562461198675,High,Europe
Azerbaijan,57.777226873981,13.28687780008498,26.64805005431024,-0.882675051689148,100.0,1.9460000000000002,32843.759999999995,6.85721954926602,-0.1725028216838838,28.0,79.019998912,45419312987.10622,-0.7399130463600161,-0.6141761302947998,2.79215998649597,1.134983386,72.313,9845048.0,-1.542803692817688,1.844497399756768,Upper_middle,Europe
Bahamas,1.2987012987013,50.9350649350649,43.21724056625104,1.09952311515808,100.0,1.262,2367.2799999999997,1.5580823692947205,0.5694945454597472,119.0,82.458655326,12277900000.0,0.8961427330970764,0.21656524688005446,2.6153619289398202,2.956898024,73.0568,398831.2,0.8664867639541625,28.382035518399903,High,South America
Bahrain,10.487887894011699,0.821547427363994,53.43690541515838,-0.06521717756986613,100.0,0.0,31023.920000000002,1.823125726605084,0.2568625867366792,43.0,97.140518842,35042942340.42552,-0.8585703849792472,0.41964600086212156,2.689528942108154,2.704215174,79.7054,1442033.0,-1.383820819854738,0.3039448179810078,High,Asia
Bangladesh,73.76827225935315,14.4687716063609,4.655841909121612,-0.9067565798759454,83.40755102539063,28.304000000000002,86106.68000000001,5.709098781624658,-0.7455080628395081,168.0,20.4,285337454366.3266,-1.1274630904197689,-0.6834667444229126,1.856226754188538,0.5428793900000001,71.74839999999999,161721742.4,-0.6389559507369994,2.3343386826647228,Lower_middle,Asia
Barbados,23.72093023255816,14.6511627906977,44.38822652489903,1.313644790649414,100.0,2.9859999999999998,1235.55,2.520685318864372,0.7622339367866513,128.0,80.62179791999999,5004190000.0,0.9925354480743414,0.6285032093524938,4.796157360076906,3.0139933579999996,76.94500000000001,279157.4,1.0998420238494862,11.386297201458508,High,South America
