iter	RMSE
0	1075.553835
1	1036.119966
2	999.9509684
3	969.8677605
4	942.2196274
5	916.6504989
6	892.9898241
7	871.388885
8	851.804209
9	831.7920991
10	815.6055134
11	801.4167558
12	792.6883363
13	779.6373683
14	767.4673979
15	755.3989448
16	754.4596524
17	750.2078326
18	740.2340571
19	738.5936799
20	731.3500818
21	730.609398
22	729.7123822
23	727.5310238
24	726.88309
25	719.6189567
26	718.8275721
27	711.247805
28	704.4082064
29	697.3023942
30	696.6248064
31	696.1565136
32	690.3317873
33	685.0709259
34	682.7935653
35	677.509397
36	673.6310044
37	669.5331811
38	666.5394599
39	661.9625796
40	658.5313096
41	654.198711
42	652.0246003
43	645.0364345
44	638.8076212
45	636.100037
46	630.4319777
47	628.5204716
48	627.8688925
49	624.2760963
50	624.076898
51	620.4316203
52	617.8865546
53	617.7100044
54	617.1944834
55	614.2659807
56	609.9371489
57	608.2668506
58	605.2145287
59	605.080591
60	604.9462667
61	603.4668474
62	600.9336382
63	596.8095338
64	595.8738577
65	594.0582601
66	592.5798087
67	590.6060158
68	588.9580216
69	585.2369212
70	583.6402142
71	581.2270381
72	579.5287236
73	577.4755516
74	575.9357423
75	574.6661249
76	573.0762761
77	570.7493653
78	567.2574551
79	563.5961191
80	562.3349019
81	562.2732042
82	559.4797541
83	557.7324223
84	554.2817942
85	553.5140906
86	552.7251014
87	551.0051909
88	549.9368341
89	549.8891932
90	547.5636411
91	546.5391081
92	546.3824229
93	546.3162775
94	545.2795074
95	544.5471589
96	543.1636842
97	543.0862823
98	542.0000508
99	540.857244
100	539.0937459
101	536.1570207
102	535.0489124
103	533.6850976
104	533.6372006
105	531.6318927
106	531.5741329
107	530.9897362
108	530.3948393
109	528.5590891
110	527.527876
111	526.3465144
112	526.1446742
113	526.0313941
114	525.3515218
115	524.4872239
116	521.1462567
117	520.6634749
118	518.0472567
119	517.9712404
120	515.2741644
121	512.9529407
122	512.0784571
123	511.6299996
124	511.5616831
125	510.9660079
126	509.238997
127	505.9245279
128	504.8000685
129	501.7470722
130	501.1955743
131	500.6864021
132	498.2355155
133	498.0465311
134	496.7830277
135	495.7791924
136	494.5809784
137	492.9838915
138	492.3330131
139	491.1607819
140	491.1151541
141	490.536938
142	489.1248489
143	489.0792674
144	488.8889128
145	488.5316327
146	487.7064939
147	487.5051428
148	487.4768003
149	485.6750777
150	485.5156548
151	484.3677433
152	483.0850859
153	482.0516619
154	480.3462962
155	480.2337442
156	479.6562198
157	479.251672
158	478.2950829
159	475.6974117
160	475.5382475
161	473.6096518
162	473.4692102
163	471.8504762
164	469.5911558
165	468.9136548
166	468.3166628
167	468.2921328
168	467.0206642
169	465.6647049
170	464.1687081
171	464.1458554
172	462.3320502
173	462.0140234
174	461.489305
175	460.1768258
176	459.4082043
177	459.1223958
178	458.2150062
179	455.6390702
180	454.678447
181	454.008426
182	452.9229564
183	451.6723202
184	450.7038421
185	450.1494253
186	449.4266198
187	448.3551358
188	446.8511725
189	446.2036044
190	445.5026981
191	444.8853805
192	444.7355138
193	442.7325752
194	442.4097499
195	442.3879996
196	441.8959179
197	440.9560984
198	440.2633528
199	439.3594116
200	438.1616425
201	437.8076569
202	437.5375493
203	437.5146124
204	436.5213526
205	435.9717726
206	435.1486741
207	435.1078836
208	433.9931001
209	433.2005452
210	431.5325774
211	430.9101862
212	430.3392347
213	429.7721316
214	429.2591972
215	429.0158472
216	428.1237936
217	428.0814414
218	428.0630073
219	427.536643
220	426.3984063
221	426.1213788
222	425.9403699
223	425.5870991
224	425.5696071
225	425.2244547
226	424.3807132
227	424.2384246
228	423.8346797
229	423.3831908
230	423.2451994
231	422.4443936
232	422.290395
233	422.1137599
234	421.5113169
235	421.5036485
236	421.0020277
237	420.6274193
238	419.9818161
239	419.4886904
240	419.3554529
241	418.539401
242	417.5355125
243	416.6908889
244	416.3698452
245	416.2174052
246	416.2023746
247	415.413628
248	414.8615236
249	414.7291205
250	413.9060159
251	413.1805322
252	412.9704742
253	412.3759614
254	412.2495672
255	411.8921711
256	411.0091721
257	410.4306348
258	409.5506776
259	409.0581171
260	408.9573581
261	408.3827616
262	407.8714412
263	407.8359885
264	407.2781772
265	406.9473899
266	406.3632452
267	405.4950141
268	404.9789119
269	404.4842595
270	404.4047438
271	403.3276911
272	403.0395541
273	402.4696548
274	402.146115
275	401.3877359
276	400.7790047
277	400.531552
278	400.3412039
279	400.078481
280	400.0327562
281	399.4873058
282	399.3397567
283	398.8555771
284	398.4572851
285	397.9463854
286	397.6601591
287	397.0148183
288	396.4658915
289	396.227635
290	395.7969227
291	395.4828413
292	394.9126283
293	394.3872157
294	394.1184862
295	393.7552982
296	393.3325012
297	393.0834668
298	392.5962305
299	392.0713102
300	391.4299688
301	391.0451264
302	390.5729146
303	389.9677569
304	389.2978089
305	388.6889627
306	388.2371812
307	387.8880442
308	387.4844384
309	386.9528359
310	386.7716973
311	386.2762
312	385.9783552
313	385.560537
314	385.2442955
315	384.7199901
316	384.5802586
317	384.4299552
318	384.3061343
319	383.9438103
320	383.716078
321	383.6157689
322	383.041722
323	382.8977005
324	382.3653152
325	381.9132567
326	381.7288624
327	381.463781
328	380.9637536
329	380.5890735
330	380.220686
331	379.7551155
332	379.4280994
333	379.0928423
334	378.7925722
335	378.6665472
336	378.5255601
337	377.9472592
338	377.4094839
339	377.321197
340	377.0389188
341	376.9254064
342	376.6739475
343	376.4873996
344	376.4743574
345	376.24374
346	375.9541856
347	375.6007866
348	375.2867404
349	374.9663225
350	374.6668591
351	374.5907258
352	374.121138
353	373.8409467
354	373.3714068
355	372.7511349
356	372.0252266
357	371.7702986
358	371.4318836
359	371.3283714
360	371.0928873
361	370.6453055
362	370.3269705
363	370.0005845
364	369.6686657
365	369.2886946
366	369.0727337
367	368.6682538
368	368.3906575
369	368.1987824
370	367.737377
371	367.3565803
372	367.2348931
373	367.0431157
374	366.622239
375	366.269236
376	365.9455964
377	365.7520544
378	365.5990397
379	365.4488742
380	365.2698229
381	364.9786338
382	364.6427255
383	364.2805807
384	364.0591499
385	363.6025889
386	363.4011378
387	362.9872237
388	362.8841976
389	362.8647116
390	362.854573
391	362.7956019
392	362.6176837
393	362.6032752
394	362.1292808
395	361.9711082
396	361.7062514
397	361.4465223
398	361.2613141
399	360.9167051
400	360.5059868
401	360.2841741
402	360.0477399
403	359.898571
404	359.8240536
405	359.6523809
406	359.2021283
407	358.9351264
408	358.7791351
409	358.7071617
410	358.472983
411	358.3838159
412	358.120223
413	358.0030869
414	357.509888
415	357.3834407
416	357.2301521
417	356.8371489
418	356.7473973
419	356.4644925
420	356.3531883
421	356.1513321
422	355.8109603
423	355.2398987
424	355.128699
425	354.95369
426	354.6861482
427	354.4169164
428	354.0254029
429	353.8306085
430	353.5233666
431	353.238727
432	352.9269385
433	352.7341811
434	352.560799
435	352.2664214
436	351.9674862
437	351.8753954
438	351.7650056
439	351.4458435
440	351.3622191
441	351.2788675
442	351.1756697
443	350.8445322
444	350.6795301
445	350.1386825
446	349.9527197
447	349.6912158
448	349.5384132
449	349.268244
450	349.0036163
451	348.953619
452	348.6475541
453	348.2512296
454	347.9719911
455	347.7811628
456	347.7393133
457	347.5919377
458	347.3803733
459	347.2093748
460	347.0707291
461	346.8893603
462	346.8096437
463	346.5902915
464	346.4474163
465	346.2563341
466	345.9497659
467	345.8210987
468	345.7374303
469	345.6419567
470	345.5893022
471	345.5402919
472	345.0558099
473	344.8831698
474	344.7737374
475	344.4568724
476	344.3850151
477	344.3212662
478	344.1647879
479	343.9120657
480	343.7305039
