iter	Passed	Remaining
0	59	119064
1	62	62542
2	65	43587
3	69	34561
4	72	29043
5	75	24936
6	78	22282
7	80	20111
8	84	18594
9	87	17457
10	91	16497
11	94	15738
12	97	14975
13	103	14620
14	106	14035
15	108	13484
16	110	12930
17	113	12527
18	116	12176
19	120	11907
20	123	11603
21	124	11175
22	127	10995
23	131	10811
24	135	10741
25	139	10617
26	141	10342
27	145	10277
28	148	10078
29	152	10012
30	153	9778
31	154	9522
32	160	9540
33	163	9436
34	166	9336
35	169	9243
36	172	9169
37	176	9103
38	179	9006
39	181	8903
40	184	8836
41	187	8737
42	190	8652
43	194	8660
44	197	8592
45	200	8513
46	204	8478
47	207	8456
48	212	8446
49	215	8403
50	216	8267
51	220	8244
52	225	8267
53	227	8189
54	230	8153
55	232	8086
56	236	8065
57	241	8083
58	245	8061
59	246	7980
60	248	7887
61	250	7839
62	253	7780
63	258	7826
64	261	7771
65	265	7776
66	297	8573
67	310	8820
68	314	8788
69	318	8776
70	329	8964
71	333	8936
72	339	8969
73	343	8951
74	346	8904
75	350	8871
76	353	8818
77	357	8801
78	360	8767
79	364	8742
80	367	8709
81	369	8638
82	373	8625
83	376	8578
84	379	8558
85	382	8517
86	386	8501
87	390	8476
88	393	8457
89	394	8377
90	397	8340
91	400	8296
92	401	8240
93	405	8213
94	407	8178
95	410	8146
96	414	8133
97	417	8097
98	421	8089
99	424	8062
100	427	8035
101	430	8011
102	433	7981
103	435	7944
104	437	7898
105	440	7876
106	443	7841
107	446	7824
108	450	7810
109	453	7787
110	455	7749
111	458	7726
112	460	7692
113	462	7650
114	465	7625
115	468	7611
116	471	7586
117	474	7561
118	476	7538
119	478	7502
120	481	7477
121	485	7466
122	486	7430
123	489	7408
124	492	7390
125	495	7364
126	498	7346
127	501	7328
128	504	7320
129	506	7290
130	509	7268
131	511	7232
132	513	7209
133	517	7201
134	520	7190
135	523	7170
136	526	7153
137	529	7143
138	532	7130
139	536	7125
140	539	7110
141	542	7102
142	545	7081
143	547	7062
144	550	7041
145	553	7033
146	556	7018
147	559	6996
148	561	6972
149	565	6975
150	567	6952
151	571	6949
152	574	6937
153	577	6921
154	580	6913
155	584	6903
156	588	6908
157	591	6892
158	593	6875
159	596	6864
160	598	6840
161	601	6827
162	604	6808
163	607	6802
164	610	6786
165	614	6784
166	617	6774
167	620	6765
168	623	6750
169	625	6730
170	627	6715
171	630	6701
172	634	6695
173	636	6681
174	640	6674
175	643	6669
176	647	6670
177	650	6655
178	653	6645
179	656	6636
180	659	6623
181	661	6608
182	664	6599
183	678	6696
184	702	6896
185	719	7016
186	722	7008
187	735	7084
188	738	7078
189	742	7070
190	745	7062
