iter	Passed	Remaining
0	2	8815
1	6	9487
2	9	9499
3	12	9628
4	15	9477
5	19	9636
6	21	9356
7	24	9206
8	27	9027
9	29	8834
10	33	8992
11	35	8908
12	38	8793
13	41	8771
14	44	8808
15	46	8692
16	49	8685
17	51	8534
18	54	8473
19	56	8400
20	59	8373
21	61	8367
22	64	8354
23	67	8353
24	70	8434
25	74	8571
26	77	8568
27	81	8613
28	83	8577
29	87	8630
30	89	8607
31	93	8626
32	95	8617
33	98	8616
34	99	8469
35	102	8429
36	105	8439
37	106	8321
38	107	8186
39	108	8053
40	109	7935
41	112	7951
42	116	7981
43	117	7899
44	118	7783
45	121	7799
46	122	7687
47	124	7649
48	124	7527
49	125	7426
50	126	7326
51	129	7337
52	130	7258
53	131	7158
54	133	7168
55	135	7137
56	138	7150
57	141	7159
58	142	7102
59	143	7019
60	144	6980
61	146	6955
62	149	6983
63	152	6996
64	155	7030
65	156	6976
66	158	6941
67	159	6858
68	160	6815
69	163	6827
70	163	6753
71	164	6707
72	166	6688
73	168	6645
74	168	6578
75	171	6606
76	172	6555
77	175	6557
78	177	6573
79	180	6601
80	181	6555
81	184	6581
82	188	6620
83	190	6606
84	191	6561
85	192	6519
86	196	6583
87	201	6657
88	204	6700
89	207	6721
90	208	6666
91	209	6610
92	210	6587
93	211	6550
94	212	6503
95	215	6510
96	216	6493
97	217	6445
98	218	6399
99	221	6428
100	222	6383
101	225	6409
102	226	6377
103	230	6426
104	233	6428
105	235	6416
106	236	6401
107	239	6425
108	241	6399
109	244	6417
110	247	6430
111	249	6435
112	252	6447
113	253	6423
114	254	6391
115	256	6375
116	259	6392
117	260	6354
118	263	6376
119	265	6378
120	266	6344
121	268	6326
122	270	6336
123	272	6320
124	273	6295
125	277	6331
126	280	6346
127	281	6311
128	282	6280
129	283	6257
130	286	6270
131	289	6293
132	292	6315
133	295	6329
134	297	6304
135	298	6275
136	299	6251
137	301	6261
138	304	6270
139	305	6237
140	306	6217
141	310	6240
142	313	6258
143	316	6268
144	317	6256
145	320	6265
146	323	6285
147	324	6257
148	325	6233
149	328	6237
150	330	6240
151	331	6219
152	334	6227
153	338	6248
154	341	6268
155	345	6290
156	348	6302
157	351	6313
158	353	6322
159	355	6302
160	357	6310
161	360	6316
162	362	6302
163	365	6314
164	366	6298
165	367	6279
166	369	6260
167	370	6239
168	371	6227
169	374	6237
170	377	6245
171	380	6252
172	382	6258
173	384	6245
174	388	6264
175	390	6270
176	393	6281
177	395	6268
178	397	6269
179	400	6272
180	402	6264
181	405	6280
182	407	6265
183	409	6270
184	411	6265
185	412	6239
186	414	6229
187	415	6221
188	418	6227
189	421	6234
190	422	6212
191	424	6202
192	424	6175
193	425	6154
194	426	6130
195	428	6123
196	430	6128
197	433	6134
198	436	6145
199	439	6154
200	441	6154
201	444	6153
202	445	6131
203	447	6139
204	448	6120
205	451	6128
206	452	6110
207	456	6124
208	459	6132
209	462	6148
210	465	6151
211	468	6162
212	469	6149
213	472	6150
214	476	6174
215	479	6183
216	483	6197
217	486	6213
218	490	6225
219	493	6236
220	497	6257
221	502	6286
222	506	6301
223	509	6311
224	512	6318
225	515	6329
226	518	6337
227	522	6351
228	523	6335
229	526	6339
230	527	6324
231	530	6324
232	532	6321
233	535	6332
234	538	6340
235	539	6321
236	540	6301
237	543	6308
238	545	6297
239	546	6281
240	547	6269
241	550	6276
242	551	6255
243	554	6262
244	555	6245
245	556	6232
246	559	6234
247	562	6239
248	565	6246
249	569	6259
250	570	6249
251	571	6229
252	573	6231
253	577	6247
254	581	6255
255	582	6246
256	586	6256
257	589	6265
258	593	6277
259	596	6286
260	600	6297
261	602	6300
262	605	6304
263	609	6317
264	610	6303
265	611	6285
266	614	6291
267	616	6288
268	618	6277
269	620	6278
270	621	6261
271	625	6269
272	628	6276
273	628	6257
274	631	6260
275	635	6268
276	637	6268
277	639	6263
278	640	6248
279	643	6255
280	646	6257
281	650	6266
282	653	6274
283	657	6284
284	658	6269
285	658	6252
286	659	6237
287	661	6226
288	665	6238
289	666	6230
290	667	6218
291	671	6228
292	674	6231
293	677	6235
294	678	6219
295	681	6226
296	684	6232
297	688	6238
298	691	6248
299	694	6252
300	697	6258
301	700	6255
302	703	6259
303	703	6241
304	706	6246
305	708	6240
306	711	6243
307	715	6249
308	717	6245
309	720	6249
310	721	6236
311	724	6240
312	727	6249
313	731	6258
314	732	6245
315	735	6250
316	738	6251
317	742	6263
318	745	6264
319	748	6269
320	752	6280
321	755	6281
322	758	6286
323	759	6271
324	761	6269
325	764	6274
326	768	6277
327	769	6270
328	773	6278
329	776	6279
330	779	6282
331	779	6267
332	782	6269
333	785	6270
334	788	6270
335	790	6270
336	793	6271
337	797	6278
338	800	6282
339	803	6287
340	806	6288
341	809	6289
342	812	6295
343	815	6296
344	818	6299
345	821	6299
346	824	6299
347	827	6304
348	830	6311
349	832	6306
350	835	6305
351	837	6303
352	840	6301
353	843	6306
354	846	6310
355	848	6304
356	851	6303
357	853	6302
358	857	6305
359	860	6310
360	863	6314
361	866	6317
362	870	6320
363	873	6324
364	874	6311
365	877	6312
366	881	6322
367	884	6327
368	888	6337
369	891	6339
370	895	6345
371	898	6345
372	901	6347
373	905	6355
374	908	6357
375	911	6361
376	914	6365
377	918	6369
378	921	6372
379	925	6379
380	929	6386
381	930	6379
382	933	6380
383	938	6394
384	941	6396
385	945	6403
386	949	6407
387	950	6400
388	953	6401
389	955	6393
390	958	6398
391	961	6399
392	965	6402
393	969	6409
394	973	6417
395	976	6422
396	979	6423
397	982	6423
398	985	6425
399	989	6431
400	993	6437
401	995	6433
402	998	6434
403	1002	6443
404	1005	6444
405	1010	6455
406	1013	6459
407	1017	6465
408	1020	6466
409	1024	6469
410	1027	6474
411	1031	6478
412	1035	6483
413	1038	6484
414	1041	6485
415	1045	6491
416	1047	6490
417	1050	6491
418	1055	6503
419	1060	6511
420	1063	6512
421	1066	6513
422	1069	6518
423	1075	6532
424	1079	6537
425	1082	6542
426	1086	6547
427	1090	6554
428	1094	6561
429	1099	6569
430	1101	6567
431	1106	6578
432	1111	6586
433	1115	6595
434	1118	6598
435	1122	6601
436	1124	6596
437	1127	6597
438	1131	6599
439	1134	6597
440	1136	6595
441	1140	6601
442	1144	6604
443	1147	6603
444	1149	6602
445	1153	6603
446	1156	6604
447	1159	6605
448	1162	6604
449	1165	6605
450	1167	6598
451	1171	6602
452	1174	6604
453	1178	6608
454	1182	6611
455	1186	6618
456	1189	6617
457	1192	6619
458	1194	6610
459	1197	6610
460	1200	6610
461	1203	6610
462	1205	6605
463	1218	6660
464	1223	6670
465	1226	6670
466	1229	6671
467	1233	6672
468	1235	6666
469	1238	6667
470	1241	6666
471	1244	6665
472	1246	6661
473	1249	6660
474	1253	6662
475	1256	6663
476	1260	6664
477	1263	6665
478	1267	6669
479	1271	6673
480	1275	6680
481	1279	6682
482	1282	6683
483	1284	6678
484	1288	6680
485	1291	6680
486	1294	6680
487	1297	6680
488	1300	6679
489	1304	6682
490	1308	6684
491	1311	6684
492	1314	6683
493	1317	6684
494	1321	6685
495	1324	6686
496	1327	6685
497	1330	6683
498	1333	6684
499	1337	6685
500	1340	6685
501	1343	6683
502	1346	6685
503	1351	6690
504	1354	6691
505	1357	6689
506	1360	6691
507	1364	6695
508	1368	6696
509	1371	6696
510	1373	6690
511	1376	6691
512	1380	6692
513	1383	6691
514	1386	6687
515	1389	6688
516	1392	6689
517	1396	6689
518	1398	6686
519	1402	6688
520	1405	6688
521	1407	6681
522	1410	6678
523	1412	6674
524	1415	6675
525	1419	6674
526	1420	6666
527	1421	6657
528	1423	6648
529	1425	6645
530	1429	6645
531	1431	6642
532	1435	6642
533	1437	6639
534	1440	6637
535	1443	6635
536	1446	6633
537	1449	6631
538	1452	6634
539	1455	6632
540	1459	6632
541	1462	6631
542	1464	6628
543	1467	6627
544	1469	6618
545	1472	6618
546	1476	6619
547	1479	6618
548	1482	6618
549	1486	6619
550	1489	6620
551	1493	6624
552	1496	6623
553	1500	6624
554	1503	6623
555	1506	6620
556	1507	6613
557	1510	6610
558	1513	6608
559	1516	6609
560	1519	6607
561	1522	6606
562	1525	6605
563	1528	6602
564	1531	6601
565	1534	6599
566	1537	6596
567	1540	6596
568	1543	6594
569	1546	6593
570	1549	6592
571	1552	6588
572	1554	6586
573	1556	6580
574	1559	6578
575	1563	6577
576	1566	6579
577	1569	6578
578	1571	6570
579	1574	6569
580	1577	6569
581	1581	6570
582	1584	6570
583	1588	6570
584	1591	6569
585	1594	6568
586	1597	6567
587	1600	6566
588	1603	6563
589	1606	6562
590	1610	6563
591	1613	6562
592	1616	6562
593	1620	6563
594	1623	6561
595	1626	6560
596	1631	6565
597	1634	6564
598	1637	6564
599	1641	6564
600	1643	6561
601	1645	6553
602	1649	6555
603	1653	6558
604	1657	6560
605	1661	6562
606	1665	6564
607	1669	6567
608	1673	6569
609	1677	6570
610	1679	6568
611	1683	6570
612	1687	6571
613	1690	6570
614	1694	6570
615	1698	6571
616	1701	6570
617	1704	6570
618	1708	6570
619	1711	6570
620	1714	6569
621	1716	6562
622	1720	6564
623	1724	6565
624	1727	6564
625	1730	6564
626	1733	6562
627	1737	6561
628	1740	6561
629	1744	6560
630	1747	6560
631	1750	6559
632	1753	6558
633	1757	6559
634	1760	6556
635	1763	6555
636	1766	6552
637	1767	6544
638	1771	6544
639	1774	6543
640	1777	6542
641	1781	6541
642	1784	6542
643	1786	6536
644	1789	6534
645	1793	6537
646	1797	6538
647	1799	6531
648	1802	6530
649	1806	6531
650	1810	6531
651	1813	6532
652	1817	6533
653	1821	6533
654	1824	6532
655	1828	6532
656	1831	6531
657	1834	6530
658	1838	6530
659	1841	6529
660	1845	6531
661	1849	6531
662	1852	6529
663	1856	6531
664	1860	6533
665	1863	6531
666	1866	6528
667	1869	6527
668	1872	6525
669	1874	6519
670	1876	6514
671	1880	6515
672	1883	6513
673	1886	6512
674	1888	6504
675	1891	6502
676	1894	6502
677	1898	6501
678	1899	6494
679	1902	6492
680	1906	6491
681	1909	6491
682	1913	6491
683	1916	6490
684	1920	6490
685	1924	6490
686	1928	6491
687	1930	6486
688	1933	6485
689	1936	6483
690	1939	6481
691	1943	6483
692	1945	6477
693	1948	6475
694	1952	6474
695	1955	6471
696	1958	6470
697	1961	6468
698	1963	6462
699	1966	6459
700	1968	6457
701	1971	6453
702	1974	6452
703	1978	6451
704	1981	6449
705	1984	6447
706	1987	6445
707	1990	6443
708	1993	6441
709	1996	6439
710	1999	6437
711	2003	6437
712	2006	6436
713	2009	6434
714	2013	6433
715	2016	6432
716	2020	6434
717	2024	6433
718	2027	6432
719	2030	6431
720	2034	6431
